"id","formula_masters_id","equipment_machine_id","equipment_machine_unit","tag_name","em_qty","topic_number","users_id","record_status","created_at","updated_at"
"54","MF2211008","MC007","-","","0","8","","1","2022-11-30 04:09:28","2022-11-30 04:09:28"
"55","MF2211008","MC008","-","","0","8","","1","2022-11-30 04:09:32","2022-11-30 04:09:32"
"56","MF2211008","MC009","-","","0","8","","1","2022-11-30 04:09:35","2022-11-30 04:09:35"
"57","MF2211009","MC001","-","","1","2","","1","2022-11-30 07:00:13","2024-01-16 09:38:07"
"58","MF2211009","MC002","-","","1","2","","1","2022-11-30 07:00:16","2024-01-16 09:38:07"
"59","MF2211009","MC003","-","","1","2","","1","2022-11-30 07:00:26","2024-01-16 09:38:09"
"60","MF2211009","MC004","-","","1","2","","1","2022-11-30 07:00:29","2024-01-16 09:38:10"
"61","MF2211009","EM001","-","","1","2","","1","2022-11-30 07:00:33","2024-01-16 09:38:11"
"62","MF2211009","MC005","-","","1","8","","1","2022-11-30 07:41:47","2024-01-16 09:39:02"
"63","MF2211009","MC006","-","","1","8","","1","2022-11-30 07:41:50","2024-01-16 09:39:03"
"64","MF2211009","MC007","-","","1","8","","1","2022-11-30 07:41:53","2024-01-16 09:39:04"
"65","MF2211009","MC008","-","","1","8","","1","2022-11-30 07:41:56","2024-01-16 09:39:05"
"66","MF2211009","MC009","-","","1","8","","1","2022-11-30 07:41:59","2024-01-16 09:39:05"
"67","MF2212001","MC001","-","","1","2","","1","2022-12-02 02:35:16","2023-02-28 01:56:26"
"68","MF2212001","MC002","-","","1","2","","1","2022-12-02 02:35:19","2023-02-28 01:56:27"
"69","MF2212001","MC003","-","","1","2","","1","2022-12-02 02:35:22","2023-02-28 01:56:27"
"70","MF2212001","MC004","-","","1","2","","1","2022-12-02 02:35:26","2023-02-28 01:56:28"
"71","MF2212001","EM001","-","","1","2","","1","2022-12-02 02:35:31","2023-02-28 01:56:29"
"72","MF2212001","MC005","-","","0","8","","1","2022-12-02 02:55:39","2022-12-02 02:55:39"
"73","MF2212001","MC006","-","","0","8","","1","2022-12-02 02:55:43","2022-12-02 02:55:43"
"74","MF2212001","MC007","-","","0","8","","1","2022-12-02 02:55:46","2022-12-02 02:55:46"
"75","MF2212001","MC008","-","","0","8","","1","2022-12-02 02:55:51","2022-12-02 02:55:51"
"76","MF2212001","MC009","-","","0","8","","1","2022-12-02 02:55:54","2022-12-02 02:55:54"
"77","MF2212002","MC001","-","","0","2","","1","2022-12-02 03:47:50","2022-12-02 03:47:50"
"78","MF2212002","MC002","-","","0","2","","1","2022-12-02 03:47:54","2022-12-02 03:47:54"
"79","MF2212002","MC003","-","","0","2","","1","2022-12-02 03:48:00","2022-12-02 03:48:00"
"80","MF2212002","MC004","-","","0","2","","1","2022-12-02 03:48:05","2022-12-02 03:48:05"
"81","MF2212002","EM001","-","","0","2","","1","2022-12-02 03:48:16","2022-12-02 03:48:16"
"82","MF2212002","MC005","-","","0","8","","1","2022-12-02 03:59:21","2022-12-02 03:59:21"
"83","MF2212002","MC006","-","","0","8","","1","2022-12-02 03:59:27","2022-12-02 03:59:27"
"84","MF2212002","MC007","-","","0","8","","1","2022-12-02 03:59:33","2022-12-02 03:59:33"
"85","MF2212002","MC008","-","","0","8","","1","2022-12-02 03:59:37","2022-12-02 03:59:37"
"86","MF2212002","MC009","-","","0","8","","1","2022-12-02 03:59:40","2022-12-02 03:59:40"
"87","MF2212003","MC001","-","","0","2","","1","2022-12-02 04:11:51","2022-12-02 04:11:51"
"88","MF2212003","MC002","-","","0","2","","1","2022-12-02 04:12:00","2022-12-02 04:12:00"
"89","MF2212003","MC003","-","","0","2","","1","2022-12-02 04:12:28","2022-12-02 04:12:28"
"90","MF2212003","MC004","-","","0","2","","1","2022-12-02 04:12:35","2022-12-02 04:12:35"
"91","MF2212003","EM001","-","","0","2","","1","2022-12-02 04:12:47","2022-12-02 04:12:47"
"92","MF2212004","MC001","-","","0","2","","1","2022-12-02 07:13:12","2022-12-02 07:13:12"
"93","MF2212004","MC002","-","","0","2","","1","2022-12-02 07:13:16","2022-12-02 07:13:16"
"94","MF2212004","MC003","-","","0","2","","1","2022-12-02 07:13:21","2022-12-02 07:13:21"
"95","MF2212004","MC004","-","","0","2","","1","2022-12-02 07:13:26","2022-12-02 07:13:26"
"96","MF2212004","EM001","-","","0","2","","1","2022-12-02 07:13:29","2022-12-02 07:13:29"
"97","MF2212004","MC005","-","","0","8","","1","2022-12-02 08:29:48","2022-12-02 08:29:48"
"98","MF2212004","MC006","-","","0","8","","1","2022-12-02 08:29:50","2022-12-02 08:29:50"
"99","MF2212004","MC007","-","","0","8","","1","2022-12-02 08:29:54","2022-12-02 08:29:54"
"100","MF2212004","MC008","-","","0","8","","1","2022-12-02 08:29:56","2022-12-02 08:29:56"
"101","MF2212004","MC009","-","","0","8","","1","2022-12-02 08:30:00","2022-12-02 08:30:00"
"102","MF2212006","MC001","-","","1","2","","1","2022-12-06 09:47:04","2023-12-22 02:38:04"
"103","MF2212006","MC002","-","","1","2","","1","2022-12-06 09:47:07","2023-12-22 02:38:05"
"104","MF2212006","MC004","-","","1","2","","1","2022-12-06 09:47:26","2023-12-22 02:38:06"
"105","MF2212006","EM001","-","","1","2","","1","2022-12-06 09:47:42","2023-12-22 02:38:06"
"106","MF2212006","MC003","-","","1","2","","1","2022-12-06 09:47:57","2023-12-22 02:38:07"
"107","MF2212006","MC005","-","","1","8","","1","2022-12-06 10:04:08","2024-01-11 07:59:17"
"108","MF2212006","MC006","-","","1","8","","1","2022-12-06 10:04:12","2024-01-11 07:59:18"
"109","MF2212006","MC007","-","","1","8","","1","2022-12-06 10:04:15","2024-01-11 07:59:19"
"110","MF2212006","MC008","-","","1","8","","1","2022-12-06 10:04:17","2024-01-11 07:59:20"
"111","MF2212006","MC009","-","","1","8","","1","2022-12-06 10:04:19","2024-01-11 07:59:21"
"112","MF2212007","EM001","-","","0","2","","1","2022-12-07 03:29:18","2022-12-07 03:29:18"
"113","MF2212007","MC001","-","","0","2","","1","2022-12-07 03:30:08","2022-12-07 03:30:33"
"114","MF2212007","MC002","-","","0","2","","1","2022-12-07 03:30:35","2022-12-07 03:30:35"
"115","MF2212007","MC003","-","","0","2","","1","2022-12-07 03:30:38","2022-12-07 03:30:38"
"116","MF2212007","MC004","-","","0","2","","1","2022-12-07 03:30:40","2022-12-07 03:30:40"
"117","MF2212007","MC009","-","","1","8","","1","2022-12-07 03:40:51","2022-12-07 03:41:13"
"118","MF2212007","MC008","-","","1","8","","1","2022-12-07 03:40:54","2022-12-07 03:41:14"
"119","MF2212007","MC007","-","","1","8","","1","2022-12-07 03:40:57","2022-12-07 03:41:15"
"120","MF2212007","MC006","-","","1","8","","1","2022-12-07 03:41:01","2022-12-07 03:41:16"
"121","MF2212007","MC005","-","","1","8","","1","2022-12-07 03:41:06","2022-12-07 03:41:17"
"122","MF2212008","EM001","-","","0","2","","1","2022-12-07 04:40:46","2022-12-07 04:40:46"
"123","MF2212008","MC001","-","","0","2","","1","2022-12-07 04:40:52","2022-12-07 04:40:52"
"124","MF2212008","MC003","-","","0","2","","1","2022-12-07 04:41:00","2022-12-07 04:41:00"
"125","MF2212008","MC004","-","","0","2","","1","2022-12-07 04:41:09","2022-12-07 04:41:09"
"126","MF2212008","MC002","-","","0","2","","1","2022-12-07 04:41:11","2022-12-07 04:41:11"
"127","MF2212008","MC009","-","","1","8","","1","2022-12-07 04:55:42","2022-12-07 04:56:53"
"128","MF2212008","MC008","-","","1","8","","1","2022-12-07 04:55:46","2022-12-07 04:56:53"
"129","MF2212008","MC007","-","","1","8","","1","2022-12-07 04:55:49","2022-12-07 04:56:54"
"130","MF2212008","MC005","-","","1","8","","1","2022-12-07 04:55:54","2022-12-07 04:56:55"
"131","MF2212008","MC006","-","","1","8","","1","2022-12-07 04:56:10","2022-12-07 04:56:55"
"132","MF2212007","LT002","-","","0","2","","1","2022-12-07 06:11:07","2022-12-07 06:11:07"
"133","MF2212007","LT001","-","","0","2","","1","2022-12-07 06:11:10","2022-12-07 06:11:10"
"134","MF2212008","LT001","-","","0","2","","1","2022-12-07 06:56:32","2022-12-07 06:56:32"
"135","MF2212008","LT002","-","","0","2","","1","2022-12-07 06:56:35","2022-12-07 06:56:35"
"136","MF2212009","EM001","-","","0","2","","1","2022-12-08 04:07:29","2022-12-08 04:07:29"
