"id","sts_code","sts_detail","users_id","created_at","updated_at"
"1","","กำลังคุย","1","2023-02-10 06:28:44","2023-02-10 06:28:44"
"2","","พัฒนาสูตร","1","2023-02-10 06:28:53","2023-02-10 06:28:53"
"3","","คอนเฟิร์ม+จด อ.ย.","1","2023-02-10 06:28:59","2023-02-10 06:28:59"
"4","","ผลิต","1","2023-02-10 06:29:07","2023-02-10 06:29:07"
"5","","เสร็จสิ้น","1","2023-02-10 06:29:13","2023-02-10 06:29:13"
"6","","รีออเดอร์","","2023-02-10 06:30:11","0000-00-00 00:00:00"
"7","","อื่นๆ","","2023-02-10 06:30:11","0000-00-00 00:00:00"
