"id","units_code","units_name","modules_id","units_short","unit_amount","units_full","record_status","created_at","updated_at"
"1","RDF001","Sachets","1","g","1000.00","Sachets","1","2025-01-15 02:18:37","2025-01-22 15:49:14"
"2","RDF002","Boxes","1","g","1000.00","Bag","1","2025-01-15 02:18:37","2025-01-22 15:49:19"
"3","RDF003","Capsule","1","mg","1000000.00","Capsule","1","2025-01-15 02:18:37","2025-01-22 15:49:28"
"4","RDF004","Batch","1","kg","1000.00","Batch","1","2025-08-20 04:15:38","2025-08-20 04:15:38"
"5","RM001","Kilogram","2","kg.","1.00","Kilogram","1","2025-08-20 04:15:38","2025-08-20 04:15:38"
"6","RM002","Gram","2","g.","1000.00","Gram","1","2025-08-20 04:15:38","2025-08-20 04:15:38"
