"id","formula_masters_id","topic_number","topic_txt","users_id","created_at","updated_at"
"25","MF2212001","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-02 02:50:43","2022-12-02 02:50:43"
"26","MF2212001","11","เก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-02 02:56:13","2022-12-02 06:44:30"
"27","MF2212002","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-02 03:57:36","2022-12-02 03:57:36"
"28","MF2212002","6","ขวดพลาสติก, ชุดหัวปั๊ม, ฝาครอบ","1","2022-12-02 03:57:47","2022-12-02 03:57:47"
"29","MF2212002","9","9.1  บรรจุเนื้อเหลวสีเหลืองลงขวดพลาสติก ปริมาณสุทธิ 220 กรัม/ขวด\n9.2 ประกอบชุดหัวปั๊มและหมุนปิดเข้ากับขวดพลาสติกให้แน่นสนิท\n9.3 นำฝาครอบปิดให้สนิท\n9.4 ซีนที่ขวด โดยใช้ไดร์เป่าลมร้อน (ใช้ถุงซีนของ DR.H ขวดใหญ่)\n9.5 บรรจุลงลังเปลือยใหญ่ ขนาด28.5(ก)*42.2(ย)*31.5(ส) ซม.","19","2022-12-02 04:02:08","2023-08-14 06:14:28"
"30","MF2212002","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-02 04:02:28","2022-12-02 04:02:28"
"31","MF2212002","12","-","1","2022-12-02 04:02:37","2022-12-02 04:02:37"
"32","MF2212001","6","ไม่มีข้อมูล","1","2022-12-02 06:40:16","2022-12-02 06:40:16"
"33","MF2212001","9","9.1 นำเนื้อครีมเจลสีขาว (กลิ่น MUSK) บรรจุลงหลอดสีดำสกรีน ปริมาณ 50 กรัม/หลอด\n9.2 นำฝาหมุน(สีดำ) หมุนปิดหลอดสีดำสกรีนให้แน่นสนิท\n9.3 ชริ้งค์ฟิล์มที่หลอด โดยใช้เครื่องอุโมงค์ความร้อน\n9.4 บรรจุลงลังเปลือยใหญ่ ขนาด28.5(ก)*42.2(ย)*3 1.5(ส) ซม.","19","2022-12-02 06:43:31","2023-06-26 07:59:13"
"34","MF2212001","12","-","1","2022-12-02 06:44:41","2022-12-02 06:44:41"
"35","MF2212004","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-02 08:27:27","2022-12-02 08:27:27"
"36","MF2212004","6","หลอดพลาสติกพร้อมสกรีน, จุกใน, ฝาปิด","1","2022-12-02 08:27:38","2022-12-02 08:27:38"
"37","MF2212004","9","9.1	บรรจุเนื้อครีมสีขาว ไม่มีกลิ่น"
"สีครีม"
"ปิด-เปิด"
"สีครีม"
"สีฟ้า"
"ก"
"ย"
"ส"
"38","MF2212004","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-02 08:31:34","2022-12-02 08:31:34"
"39","MF2212004","12","ทิ้งไว้ให้เนื้อเซ็ทตัว 3-4 วัน","1","2022-12-02 08:33:03","2022-12-02 08:33:03"
"40","MF2212006","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-06 10:01:10","2022-12-06 10:01:10"
"41","MF2212006","6","กระปุกอะคริลิกสีชมพูอ่อน หัวปั๊มสุญญากาศ ฝาครอบสีชมพูอ่อน","19","2022-12-06 10:02:54","2024-01-11 08:00:20"
"42","MF2212006","11","จัดเก็บใน Shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-06 10:06:20","2022-12-06 10:06:20"
